"#","RefDes","Value","Part"
"1","C1","1uF","CL05A105KO5NNNC"
"2","C2","1uF","CL05A105KO5NNNC"
"3","C3","22uF","CL10A226MP8NUNE"
"4","i2cR","","Part 1"
"5","J2","","Part 1"
"6","J3","","Part 1"
"7","J4","","Part 1"
"8","R1","4.7k","EXB-24V472JX"
"9","R2","10k","ERJ-2RKF1002X"
"10","R3","22","ERJ-2RKF22R1X"
"11","U1","","TMG39931-M"
