"#","RefDes","Value","Part"
"1","C1","10uF","CL10A106MP8NNNC"
"2","C2","0.1uF","GRM155R71A104KA01J"
"3","J1","","Part 1"
"4","J2","","Part 1"
"5","J3","","Part 1"
"6","J4","","Part 1"
"7","R1","10k","ERJ-2RKF1002X"
"8","R2","1.2k","ERJ-2RKF1201X"
"9","R3","1.2k","ERJ-2RKF1201X"
"10","U2","","PCA9685PW/Q900,118"
