"#","RefDes","Value","Name","Part","Quantity"
"1","C1","22uF","CAP_0603","Part 1","1"
"2","C2","0.1uF","CAP_0402","Part 1","1"
"3","CD","","LargeSolderBridge","Part 1","1"
"4","J1","","2x3T/2.54rev","Part 1","1"
"5","J2","","2x2T/2.54","Part 1","1"
"6","J3","","2x2T/2.54","Part 1","1"
"7","J4","","2x1T/2.54","Part 1","1"
"8","R1","100k","RES_0402","Part 1","1"
"9","U1",""," WM9315","Part 1","1"
"10","U2","","Fyberstamp","Part 1","1"
"","","","","","10"
