"#","RefDes","Value","Part"
"1","A0","","Part 1"
"2","C1","0.1uF","CL05B104KO5NNNC"
"3","C2","0.1uF","CL05B104KO5NNNC"
"4","i2cR","","Part 1"
"5","J1","","Part 1"
"6","J2","","Part 1"
"7","J3","","Part 1"
"8","J5","","Part 1"
"9","R1","10k","EXB-24V103JX"
"10","R2","4.7k","EXB-24V472JX"
"11","R3","75k 1%","ERJ-2RKF7502X"
"12","U1","","MPR121QR2"
"13","U2","","Part 1"
"14","U3","","Part 1"
