#,RefDes,Value,Name,Quantity,Part,BOM
1,CmBM,"100nF Capacitor, X7R, ±10%",CAP_0402,1,GRM155R71A104KA01J,pPadMEMs
2,CmBMIO,"100nF Capacitor, X7R, ±10%",CAP_0402,1,GRM155R71A104KA01J,pPadMEMs
3,CmMPU,"100nF Capacitor, X7R, ±10%",CAP_0402,1,GRM155R71A104KA01J,pPadMEMs
4,CmMPUIO,"10nF Capacitor, X7R, ±10%",CAP_0402,1,GRM155R71C103KA01D,pPadMEMs
5,CmMRG,"100nF Capacitor, X7R, ±10%",CAP_0402,1,GRM155R71A104KA01J,pPadMEMs
6,Um1,9-axis,MPU-9250,1,MPU-9250,pPadMEMs
7,Um2,pressure,BMP180,1,BMP180,pPadMEMs
