"#","RefDes","Value","Part"
"1","C1","1.0uF","CL05A105KO5NNNC"
"2","J1","","Part 1"
"3","J2","","Part 1"
"4","J3","","Part 1"
"5","L/R","","Part 1"
"6","R1","10k","ERJ-2RKF1002X"
"7","R2","100k","ERJ-2GEJ104X"
"8","U1","","INMP441ACEZ"
"9","U2","","Part 1"
"10","U3","","Part 1"
