"#","RefDes","Value","Name","Part","Pattern","Quantity"
"1","Power","","CAST-1x2T/2.54","Part 1","CAST-1x2T/2.54/5x2","1"
"2","RGBout","","S4B-XH-SM4-TB","S4B-XH-SM4-TB","S4B-XH-SM4-TB","1"
"3","Signal","","CAST-1x2T/2.54","Part 1","CAST-1x2T/2.54/5x2","1"
