"#","RefDes","Value","Part"
"1","C1","10uF","CL10A106MP8NNNC"
"2","C2","10uF","CL10A106MP8NNNC"
"3","C3","1uF","CL05A105KO5NNNC"
"4","i2cR","","Part 1"
"5","J1","","Part 1"
"6","J2","","Part 1"
"7","J3","","Part 1"
"8","L1","","MLP2012H2R2MT"
"9","R1","4.7k","EXB-24V472JX"
"10","R2","10k","ERJ-2RKF1002X"
"11","U1","","LM3671TLX-1.875/NOPB"
"12","U2","","MAX30100EFD+"
