"#","RefDes","Value","Part"
"1","C1","0.1uF","CL05B104KO5NNNC"
"2","C2","1uF","CL05A105KO5NNNC"
"3","i2cR","","Part 1"
"4","J1","","Part 1"
"5","J2","","Part 1"
"6","J3","","Part 1"
"7","J4","","Part 1"
"8","R1","10k","EXB-24V103JX"
"9","R2","4.7k","EXB-24V472JX"
"10","U1","","TCA8418RTWR"
"11","U2","","Part 1"
"12","U3","","Part 1"
